Wavelength (nm),Reflectance
350.0,0.29230541112112823
351.0,0.2922419264352927
352.0,0.2918036659463467
353.0,0.29166949175144385
354.0,0.2919174537566215
355.0,0.29173175675357316
356.0,0.2913041477268604
357.0,0.29170699992151766
358.0,0.29223282810825363
359.0,0.2922930408810905
360.0,0.2919982507631739
361.0,0.2924008228902574
362.0,0.2921184622276863
363.0,0.29175979174408523
364.0,0.291954547470856
365.0,0.2923398168685147
366.0,0.2923465030810619
367.0,0.29222432278629834
368.0,0.2924103161517229
369.0,0.2926877006686959
370.0,0.29280167749145336
371.0,0.292782259225283
372.0,0.2928420483526816
373.0,0.29293960506455674
374.0,0.2928650963106559
375.0,0.29267745677447266
376.0,0.29274684680946494
377.0,0.29316002199022634
378.0,0.29342253082740477
379.0,0.29331257053734505
380.0,0.293353500084098
381.0,0.29357360370468044
382.0,0.2937115042239095
383.0,0.29354432115883683
384.0,0.293317270406138
385.0,0.29366550755126525
386.0,0.29401202259411807
387.0,0.2935060464840174
388.0,0.2935225720206053
389.0,0.2937951003010708
390.0,0.2939836028315342
391.0,0.29385813193518384
392.0,0.29408529697513824
393.0,0.29416583104663463
394.0,0.29390595909491457
395.0,0.2938586259086692
396.0,0.293831130032467
397.0,0.29382735409266636
398.0,0.2938887891877959
399.0,0.294087363803382
400.0,0.29407377239608173
401.0,0.2940067734803232
402.0,0.2941502388458916
403.0,0.294206512435587
404.0,0.2941936037361472
405.0,0.29418510866522224
406.0,0.29426760020274284
407.0,0.29423861817198904
408.0,0.2943169311930531
409.0,0.2945003671319619
410.0,0.29430088207641203
411.0,0.2944027549423667
412.0,0.2945706881197016
413.0,0.29451232644565634
414.0,0.2945963826168819
415.0,0.29465903297920254
416.0,0.2947316776074996
417.0,0.29490038768648147
418.0,0.294871409630121
419.0,0.2948393423731671
420.0,0.29490466169644675
421.0,0.29501314284610364
422.0,0.29498719758159764
423.0,0.29502627558107025
424.0,0.2952154934214172
425.0,0.2952140794324081
426.0,0.29524316679961526
427.0,0.2952955364778488
428.0,0.2953143514589582
429.0,0.2954020703557355
430.0,0.29545480230103427
431.0,0.29547755529670805
432.0,0.2955526554331643
433.0,0.295614001730333
434.0,0.29567933442852307
435.0,0.2957507365452644
436.0,0.29579365471904373
437.0,0.2958316460767702
438.0,0.29587636349691837
439.0,0.29593797728727333
440.0,0.2960373665737474
441.0,0.29611338485504335
442.0,0.2961565654749608
443.0,0.29619418564528155
444.0,0.29629389185185095
445.0,0.2963634979194701
446.0,0.29639409337966016
447.0,0.2964823890619246
448.0,0.2965708184512722
449.0,0.2965878370653824
450.0,0.2965390662703127
451.0,0.29663203526718895
452.0,0.2966952245116662
453.0,0.2967378671110247
454.0,0.29681545757941125
455.0,0.29679119203078524
456.0,0.29682514990961634
457.0,0.29694066943641556
458.0,0.29701722094485433
459.0,0.2971017281926717
460.0,0.29714126206606034
461.0,0.29713346316171363
462.0,0.29721537968789463
463.0,0.2972570472690298
464.0,0.297296488451628
465.0,0.2973909284674941
466.0,0.2973946875806139
467.0,0.29744097631976973
468.0,0.2975192681326179
469.0,0.2975049356683867
470.0,0.2974817482451929
471.0,0.2975179981111527
472.0,0.29760999682293815
473.0,0.297634476261743
474.0,0.29767837413725673
475.0,0.297734459621932
476.0,0.2977761423417294
477.0,0.29781414891974906
478.0,0.2978515953073822
479.0,0.29788966831624397
480.0,0.29793060945215405
481.0,0.29800496933566417
482.0,0.2980738806852858
483.0,0.29812003567319134
484.0,0.29817441120081173
485.0,0.2982535283516455
486.0,0.2983306706132379
487.0,0.2983752328780867
488.0,0.2983997509202454
489.0,0.2984351024232146
490.0,0.29849075793513014
491.0,0.2985598684587397
492.0,0.298639549917686
493.0,0.2986726352472402
494.0,0.29866691555198444
495.0,0.29873399782491356
496.0,0.2987975760518311
497.0,0.2988540862162554
498.0,0.29891369933467377
499.0,0.2989606756143417
500.0,0.29903623479641633
501.0,0.2990966689447154
502.0,0.2990699143939997
503.0,0.2991693427344278
504.0,0.2992680827667291
505.0,0.29930766566274003
506.0,0.2993936823527498
507.0,0.29943177239001834
508.0,0.29946341944648236
509.0,0.29953465262976814
510.0,0.2995675810736209
511.0,0.2996424381897777
512.0,0.2997464274478346
513.0,0.2998103639867537
514.0,0.29986509286140905
515.0,0.2999055818574044
516.0,0.2999444288536728
517.0,0.3000306137161892
518.0,0.30009334570233465
519.0,0.3001439452234909
520.0,0.3002123305004517
521.0,0.30030838436158175
522.0,0.30034872018508324
523.0,0.3003653199101255
524.0,0.3004557690333332
525.0,0.30056525438238024
526.0,0.3006471339692302
527.0,0.3006909590185183
528.0,0.3007449866249457
529.0,0.3008184537781641
530.0,0.3009072273609389
531.0,0.30100227946015407
532.0,0.30109865528006713
533.0,0.30116842663277904
534.0,0.30122669180956296
535.0,0.30131855093695525
536.0,0.3014096182438218
537.0,0.30149530376890676
538.0,0.3015809143989501
539.0,0.3016802002971568
540.0,0.3017768362192647
541.0,0.3018647816114283
542.0,0.30194577411513607
543.0,0.30203627398194094
544.0,0.30212833651175486
545.0,0.30221298677578556
546.0,0.3022829017499307
547.0,0.3023755007492762
548.0,0.3024700006070931
549.0,0.30255355591009075
