Wavelength (nm),Reflectance
350.0,0.32239955005579846
351.0,0.3226514599655299
352.0,0.32288014209135185
353.0,0.32267515211394915
354.0,0.3227345436790686
355.0,0.3226210013660282
356.0,0.32249641141715507
357.0,0.323033917181722
358.0,0.3230270697174997
359.0,0.32295895325927476
360.0,0.32314848015075726
361.0,0.32328878451961246
362.0,0.32291951274402925
363.0,0.3227149881862525
364.0,0.32308026871418777
365.0,0.32315245768243295
366.0,0.3232199303905166
367.0,0.32323816809409256
368.0,0.32315382467066667
369.0,0.32334719175226834
370.0,0.3236379298572624
371.0,0.3238261229405476
372.0,0.3237652767341223
373.0,0.32367227624959644
374.0,0.32369286307631645
375.0,0.3238796198164618
376.0,0.32417310652021913
377.0,0.32422323308373524
378.0,0.3242094586761927
379.0,0.32432681272832453
380.0,0.3245906759817658
381.0,0.32473763048677323
382.0,0.3248419463298162
383.0,0.32500157151990583
384.0,0.32498333422653874
385.0,0.3248383158643214
386.0,0.3247585178105625
387.0,0.324943829107988
388.0,0.32526468708469414
389.0,0.32554325103484333
390.0,0.32566474603448975
391.0,0.3255934512030068
392.0,0.3255036715062487
393.0,0.32556852721319146
394.0,0.3257400753003208
395.0,0.3256464192796076
396.0,0.32578087823678925
397.0,0.3260796348139164
398.0,0.32630401790465674
399.0,0.3260905507958527
400.0,0.3261140523461919
401.0,0.32631146327495936
402.0,0.32637527406170735
403.0,0.3263864532263105
404.0,0.3264178995260632
405.0,0.32645033395822504
406.0,0.3263959160620631
407.0,0.3263359741449039
408.0,0.3263801154120435
409.0,0.3265431160442444
410.0,0.3266795255242948
411.0,0.32696610364016404
412.0,0.3271035344162112
413.0,0.3269199490777805
414.0,0.3270424663090965
415.0,0.327218192004392
416.0,0.32733733204633164
417.0,0.3273907462558101
418.0,0.3274728302667299
419.0,0.3275050807644238
420.0,0.32750624385499805
421.0,0.3276071599368807
422.0,0.32773661658190095
423.0,0.3278496227659624
424.0,0.32793915388911643
425.0,0.32807645037825733
426.0,0.3281662690567827
427.0,0.3282002270119403
428.0,0.3282107899691773
429.0,0.3282416840097499
430.0,0.32834532790495313
431.0,0.32848234855684866
432.0,0.3285654745177659
433.0,0.3287543946562912
434.0,0.32886754727483586
435.0,0.32887117305559
436.0,0.3289945490376415
437.0,0.3290831006651531
438.0,0.32911406223187306
439.0,0.32912878459259204
440.0,0.32926497160256546
441.0,0.3293906259229251
442.0,0.3294934658765396
443.0,0.32960768505665755
444.0,0.32961181601372763
445.0,0.3296066342265589
446.0,0.32967089231749397
447.0,0.32982897988632204
448.0,0.3299277332962658
449.0,0.3300103579281106
450.0,0.330108632339314
451.0,0.3301027736083274
452.0,0.3301637785746209
453.0,0.3302624475496942
454.0,0.3303107554038712
455.0,0.3304088601341971
456.0,0.33051412419428505
457.0,0.33060097680942296
458.0,0.33066944081023686
459.0,0.3307097482740326
460.0,0.3307528843360679
461.0,0.3308296779512428
462.0,0.33096415577245203
463.0,0.3310397987261811
464.0,0.33106623913078054
465.0,0.3311021571013137
466.0,0.3311912798386589
467.0,0.3312706485653621
468.0,0.3313286485050531
469.0,0.33139624679201707
470.0,0.33142013305926366
471.0,0.3314963401331468
472.0,0.33164972176703983
473.0,0.33174643336169946
474.0,0.33182467502560214
475.0,0.33187852122844336
476.0,0.33190752628031717
477.0,0.33196663353558414
478.0,0.33204854138996176
479.0,0.33214521459379504
480.0,0.33224332178290006
481.0,0.3322724924004984
482.0,0.332325751046894
483.0,0.33244041554175346
484.0,0.3325282425057844
485.0,0.3325806103561317
486.0,0.3326594771055799
487.0,0.332823222515462
488.0,0.3330377667972159
489.0,0.3331253897345253
490.0,0.33311879516657966
491.0,0.3331793268812795
492.0,0.3332849785973103
493.0,0.3334221861663285
494.0,0.33356690986161186
495.0,0.3336831885989457
496.0,0.3337441721860772
497.0,0.33383412842937227
498.0,0.3340145842371293
499.0,0.3341591333252477
500.0,0.33423107053401263
501.0,0.3342801208247766
502.0,0.33440192424148996
503.0,0.3345424070177071
504.0,0.3346546504184919
505.0,0.33473320598621
506.0,0.33483060731386
507.0,0.33494140869544164
508.0,0.3350666632221138
509.0,0.3352004340426164
510.0,0.33531021770183445
511.0,0.3354260481542686
512.0,0.33555106825418035
513.0,0.3356684162454012
514.0,0.33574854228689804
515.0,0.3358647538536872
516.0,0.3360216101986011
517.0,0.33608291963923564
518.0,0.3362409570427868
519.0,0.3364343826617627
520.0,0.3365538842661442
521.0,0.33660600309466704
522.0,0.33671463091682197
523.0,0.33687603550816614
524.0,0.337004132961173
525.0,0.3371039102243566
526.0,0.3372164435849582
527.0,0.3373552337066954
528.0,0.3374744363547261
529.0,0.3376605213465831
530.0,0.33786200106057046
531.0,0.3380106652029715
532.0,0.3381257834933093
533.0,0.3382637356142017
534.0,0.3384457877056347
535.0,0.338657959054436
536.0,0.3388289575351342
537.0,0.33898339894796853
538.0,0.3391505986118057
539.0,0.33933154016307127
540.0,0.3395536933432438
541.0,0.3397691892492703
542.0,0.339936231696979
543.0,0.3401741526550878
544.0,0.34040719192977886
545.0,0.34061870190385685
546.0,0.34084806824280983
547.0,0.3410912707822847
548.0,0.34135430208122186
549.0,0.34162756503398833
550.0,0.34185972839057505
551.0,0.34212350574634054
552.0,0.34242977113084566
553.0,0.34275484701191633
554.0,0.3430429791350247
555.0,0.34334564727929606
556.0,0.343678850553779
557.0,0.34401217153900576
558.0,0.3443352043310914
559.0,0.3446530177759058
560.0,0.3449806045916912
561.0,0.34536042214274637
562.0,0.34568560109942925
563.0,0.3459876340048104
564.0,0.34635360169039914
565.0,0.3467470896857084
566.0,0.34711158674685005
567.0,0.3474415010636878
568.0,0.34779954384879147
569.0,0.3481597694339317
570.0,0.3485336779261644
571.0,0.34893006765236584
572.0,0.3493363466124531
573.0,0.34975227964107963
574.0,0.35010752239660176
575.0,0.3503318555280806
576.0,0.3507159571058938
577.0,0.3511300663674321
578.0,0.351495230119939
579.0,0.351892031150317
580.0,0.3523231045562869
581.0,0.3527363744282741
582.0,0.3530868148342851
583.0,0.3534071981518618
584.0,0.35374744451195955
585.0,0.3541270823000321
586.0,0.3545312523315634
587.0,0.35486486630784747
588.0,0.355178258705128
589.0,0.35551332793053386
590.0,0.3558425779702081
591.0,0.35616723039136855
592.0,0.3564650179772402
593.0,0.35673498588085784
594.0,0.3570393606713077
595.0,0.357373656649162
596.0,0.3577108245221376
597.0,0.3580102941590554
598.0,0.3582482551187106
599.0,0.35848406895181456
600.0,0.3587593559227848
601.0,0.3590498124976627
602.0,0.35930099336216226
603.0,0.35954673151071403
604.0,0.3598271511827879
605.0,0.35999663253265823
606.0,0.3601771049614845
607.0,0.36040944005754394
608.0,0.36063566218312304
609.0,0.3608979812076621
610.0,0.3611234479623674
611.0,0.36126967425468737
612.0,0.3614329137671363
613.0,0.3616196857892666
614.0,0.3618127721315766
615.0,0.3619901454035473
616.0,0.36221802092367544
617.0,0.36241658265100146
618.0,0.36254480713974396
619.0,0.36263251410093855
620.0,0.3627947460568597
621.0,0.3629734735942295
622.0,0.3631072248148514
623.0,0.36326900115834243
624.0,0.3634380516082354
625.0,0.36359329727773115
626.0,0.36372006267185364
627.0,0.3638653057453027
628.0,0.3639920218225077
629.0,0.3641119912959884
630.0,0.36432618178515785
631.0,0.36450297005120197
632.0,0.36461165202705026
633.0,0.3646799223368903
634.0,0.3648214256520627
635.0,0.3650052620006121
636.0,0.3651801985454398
637.0,0.3652939866852717
638.0,0.365437004269801
639.0,0.3655824000708595
640.0,0.36571484127603615
641.0,0.3658635730808855
642.0,0.36599792291683003
