Wavelength (nm),Reflectance
350.0,0.02308711994229058
351.0,0.02279090144345493
352.0,0.02386244055319208
353.0,0.023957919101202863
354.0,0.024345473124684394
355.0,0.025032439007247678
356.0,0.025244495782839087
357.0,0.023872220011011438
358.0,0.02390644563568822
359.0,0.024529868384736666
360.0,0.02479462463902541
361.0,0.024535418532506226
362.0,0.02572813329130881
363.0,0.026679603452188356
364.0,0.026022283067647978
365.0,0.025156485398101742
366.0,0.024662668704989937
367.0,0.024916491277327917
368.0,0.025795272762727518
369.0,0.02575960749482283
370.0,0.025525287060977054
371.0,0.025745623522905044
372.0,0.02663344130135887
373.0,0.025714681334750904
374.0,0.025369360950437424
375.0,0.026304558972036634
376.0,0.02667321263492138
377.0,0.02670188815913971
378.0,0.026560855915449672
379.0,0.026467845974357106
380.0,0.02670437002632313
381.0,0.026703607138298394
382.0,0.026563679848888674
383.0,0.02657141293827793
384.0,0.026772527233086138
385.0,0.027466584338733346
386.0,0.02806353675152996
387.0,0.02782760605132747
388.0,0.028061374149577586
389.0,0.02793273496249628
390.0,0.027545606396787277
391.0,0.027894867683962238
392.0,0.028317594665044715
393.0,0.02868849054547251
394.0,0.02894647604338139
395.0,0.029014406414897047
396.0,0.028949329918799123
397.0,0.029040668537159527
398.0,0.029345285942265632
399.0,0.029188720772174014
400.0,0.029403237009540225
401.0,0.029798754675209385
402.0,0.02987521275957869
403.0,0.02978055438549685
404.0,0.0298842775007519
405.0,0.030169587924657314
406.0,0.03030039540128516
407.0,0.03059041386823453
408.0,0.030529575021111383
409.0,0.03017236243948339
410.0,0.030739424812491496
411.0,0.03091995965615037
412.0,0.030871900632144518
413.0,0.03101030869658851
414.0,0.03120637985012409
415.0,0.031249865508587032
416.0,0.03126930982765831
417.0,0.031515169389055075
418.0,0.03173562820753419
419.0,0.03181496375853215
420.0,0.03181813064492173
421.0,0.03197484085309337
422.0,0.03210160657876979
423.0,0.03214790623703724
424.0,0.032202058611304075
425.0,0.03265477187498288
426.0,0.03282988979199654
427.0,0.032770644874328514
428.0,0.03278124591222602
429.0,0.032961262169262616
430.0,0.03327399526388634
431.0,0.03358673138560493
432.0,0.03372783404833279
433.0,0.03374009976335616
434.0,0.03381394609583245
435.0,0.03401272872437328
436.0,0.03419387611787086
437.0,0.034518466627059756
438.0,0.034816635844056955
439.0,0.034917148810269395
440.0,0.034879796016993744
441.0,0.03503648048460843
442.0,0.03536381415513216
443.0,0.03564244270846607
444.0,0.03578785114081363
445.0,0.035934105971041956
446.0,0.03609878588182109
447.0,0.03614542428663172
448.0,0.03613173882525162
449.0,0.036095993836126106
450.0,0.036129761870970944
451.0,0.03650565452769603
452.0,0.03671391808788392
453.0,0.03677343874211342
454.0,0.03688602436326899
455.0,0.03685674541971933
456.0,0.03689058224232299
457.0,0.03709725345164266
458.0,0.03744166692440304
459.0,0.03753000036258304
460.0,0.037492633987898996
461.0,0.03753367304135289
462.0,0.03780266988700572
463.0,0.0381078449347863
464.0,0.03821723928129568
465.0,0.03805602380187235
466.0,0.03832421746618306
467.0,0.03852006508417966
468.0,0.03860069464978431
469.0,0.03889031841911457
470.0,0.03881961348798265
471.0,0.038784062742320866
472.0,0.03899923055389806
473.0,0.03910097927867921
474.0,0.03928411831994901
475.0,0.03948789943946375
476.0,0.03962814539624138
477.0,0.03984092925823637
478.0,0.03998005470936556
479.0,0.04002956104127663
480.0,0.040079417535142416
481.0,0.04023115797793686
482.0,0.040400473745664404
483.0,0.04052629513694951
484.0,0.04062564658144548
485.0,0.04080217001949118
486.0,0.04092252613062426
487.0,0.04092592140388782
488.0,0.04137179153264113
489.0,0.04141611087595858
490.0,0.0412514212761927
491.0,0.041623209215588965
492.0,0.04168414633396856
493.0,0.041744789515588535
494.0,0.04201708533599902
495.0,0.042369428895711235
496.0,0.04246576719403032
497.0,0.04252871356798786
498.0,0.04278098740337903
499.0,0.04279661950107992
500.0,0.04297143807916904
501.0,0.04327320406422799
502.0,0.04340286903189981
503.0,0.043504539193822904
504.0,0.043662120332558035
505.0,0.04386665274020282
506.0,0.04398454798436759
