Wavelength (nm),Reflectance
350.0,0.14285296152640312
351.0,0.14327903028846473
352.0,0.14383877713888632
353.0,0.14441830137365205
354.0,0.14449200652704527
355.0,0.14447900734055985
356.0,0.14453523607043603
357.0,0.14453601523343487
358.0,0.14516092675116726
359.0,0.14559492796078033
360.0,0.1455361059516735
361.0,0.14574080661440084
362.0,0.1463379678373539
363.0,0.14682740622587162
364.0,0.1469123794307648
365.0,0.1471496995848236
366.0,0.14741785384495243
367.0,0.14768280614231966
368.0,0.14795349678019085
369.0,0.1483792809650743
370.0,0.14844693128417355
371.0,0.14840212126514274
372.0,0.14886363666736174
373.0,0.14890708160773308
374.0,0.14890203210511144
375.0,0.1492274796842358
376.0,0.15004114061786034
377.0,0.15023258191477368
378.0,0.1503790849780916
379.0,0.15076915693532186
380.0,0.1504029491215299
381.0,0.15038204885466294
382.0,0.15058450067291596
383.0,0.1506026289770695
384.0,0.1504256478721797
385.0,0.15098951825429696
386.0,0.15190520212949574
387.0,0.15226954212929775
388.0,0.1525666448704436
389.0,0.15298589568628634
390.0,0.15329237362689346
391.0,0.15299826014187493
392.0,0.15332743561373893
393.0,0.15364897010637685
394.0,0.15367537563762726
395.0,0.15411402191852255
396.0,0.15446484401749064
397.0,0.15484369388718525
398.0,0.1553535593544133
399.0,0.15574953950189438
400.0,0.15581279865019468
401.0,0.15573934675909365
402.0,0.15581572664274346
403.0,0.1558815062227651
404.0,0.15598961335809447
405.0,0.15615929505657555
406.0,0.1563609425390745
407.0,0.15640419615900894
408.0,0.15658615831044617
409.0,0.15695214162415527
410.0,0.15700690697700379
411.0,0.15709990421621856
412.0,0.1572719999958342
413.0,0.157486832905556
414.0,0.15776283256754062
415.0,0.1578878790396859
416.0,0.15791219934919204
417.0,0.15801659703277965
418.0,0.15822641661378334
419.0,0.15837434915169357
420.0,0.1584732532772619
421.0,0.15873084573950136
422.0,0.15882673344982512
423.0,0.15894441847902885
424.0,0.15919787632190346
425.0,0.15933121395178762
426.0,0.15942268627372144
427.0,0.15954481407544396
428.0,0.15973524541713424
429.0,0.15984954297601903
430.0,0.15996997146166086
431.0,0.16017322198950426
432.0,0.16049497429610288
433.0,0.1607499961418685
434.0,0.16090277290081
435.0,0.16099001260220563
436.0,0.16111117287082408
437.0,0.16121617039877162
438.0,0.1613640724417235
439.0,0.161577590824443
440.0,0.16168141114972323
441.0,0.16186419721339845
442.0,0.1620799683213528
443.0,0.16218794632106118
444.0,0.16231167597427376
445.0,0.16244230704240956
446.0,0.16258549597515443
447.0,0.16277281275021901
448.0,0.16294267569912257
449.0,0.16308646643157348
450.0,0.16319684462083064
451.0,0.16322696166955078
452.0,0.1632945677009203
453.0,0.16345903241612825
454.0,0.16370437972322305
455.0,0.16376456948669166
456.0,0.1639035222823008
457.0,0.16413895747999802
458.0,0.1642368222539031
459.0,0.16436829300952732
460.0,0.16450783332070637
461.0,0.16463322334691405
462.0,0.16480359811227382
463.0,0.16491636996238995
464.0,0.16500466316415724
465.0,0.16513377733447418
466.0,0.1652696820078528
467.0,0.165417965995673
